Rank,CCA3,Country/Territory,Capital,Continent,2023 population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km_),density (km¬≤),growth rate,world percentage
49,NPL,Nepal,Kathmandu,Asia,30896590,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,216,1.14%,0.39%
71,NLD,Netherlands,Amsterdam,Europe,17618299,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,523,0.31%,0.22%
185,NCL,New Caledonia,Nouméa,Oceania,292991,289950,286403,283032,261426,221537,177264,148599,110982,18575,16,1.05%,0.00%
123,NZL,New Zealand,Wellington,Oceania,5228100,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,20,0.83%,0.07%
106,NIC,Nicaragua,Managua,North America,7046310,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,59,1.41%,0.09%
54,NER,Niger,Niamey,Africa,27202843,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,21,3.80%,0.34%
6,NGA,Nigeria,Abuja,Africa,223804632,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,246,2.41%,2.80%
232,NIU,Niue,Alofi,Oceania,1935,1934,1942,1847,1812,2074,2533,3637,5185,260,7,0.05%,0.00%
56,PRK,North Korea,Pyongyang,Asia,26160821,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,120538,217,0.35%,0.33%
150,MKD,North Macedonia,Skopje,Europe,2085679,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,83,-0.38%,0.03%
210,NFK,Northern Mariana Islands,Saipan,Oceania,49796,49551,49587,51514,54087,80338,48002,17613,10143,464,108,0.49%,0.00%
120,NOR,Norway,Oslo,Europe,5474360,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,15,0.74%,0.07%
127,OMN,Oman,Muscat,Asia,4644384,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,15,1.49%,0.06%
5,PAK,Pakistan,Islamabad,Asia,240485658,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,881912,312,1.98%,3.00%
222,PLW,Palau,Ngerulmud,Oceania,18058,18055,17972,17794,18540,19726,15293,12252,11366,459,39,0.02%,0.00%
122,PSE,Palestine,Ramallah,Asia,5371230,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,6220,892,2.31%,0.07%
128,PAN,Panama,Panama City,North America,4468087,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,75417,60,1.35%,0.06%
93,PNG,Papua New Guinea,Port Moresby,Oceania,10329931,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,23,1.85%,0.13%
109,PRY,Paraguay,Asunción,South America,6861524,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,17,1.19%,0.09%
44,PER,Peru,Lima,South America,34352719,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1285216,27,0.89%,0.43%
13,PHL,Philippines,Manila,Asia,117337368,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,342353,394,1.54%,1.47%
37,POL,Poland,Warsaw,Europe,41026067,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,134,2.93%,0.51%
92,PRT,Portugal,Lisbon,Europe,10247605,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,112,-0.23%,0.13%
136,PRI,Puerto Rico,San Juan,North America,3260314,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,8870,368,0.24%,0.04%
143,QAT,Qatar,Doha,Asia,2716391,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,236,0.79%,0.03%
114,COG,Republic of the Congo,Brazzaville,Africa,6106869,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,18,2.29%,0.08%
161,REU,Reunion,Saint-Denis,Africa,981796,974052,957822,922495,890130,785424,658992,551674,473925,2511,391,0.80%,0.01%
64,ROU,Romania,Bucharest,Europe,19892812,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,86,1.19%,0.25%
9,RUS,Russia,Moscow,Europe,144444359,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,9,-0.19%,1.80%
76,RWA,Rwanda,Kigali,Africa,14094683,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,571,2.31%,0.18%
228,BLM,Saint Barthelemy,Gustavia,North America,10994,10967,10681,9643,8988,7082,5168,2983,2417,21,440,0.25%,0.00%
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47755,47657,47642,47790,47403,45461,40636,43097,44968,261,184,0.21%,0.00%
190,LCA,Saint Lucia,Castries,North America,180251,179857,179237,175623,170935,159500,142301,121633,103090,616,295,0.22%,0.00%
